course_name,institution,course_id,num_reviews,avg_rating
Managing Project Risks and Changes,"University of California, Irvine",project-risk-management,604,4.7
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,negotiation,603,4.8
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,nutricion-obesidad-sobrepeso,600,4.5
Excel Skills for Business: Intermediate II,Macquarie University,excel-intermediate-2,600,4.6
Essential Google Cloud Infrastructure: Core Services,Google Cloud,gcp-infrastructure-core-services,594,4.57
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,introduction-cybersecurity-cyber-attacks,588,3.86
Global Diplomacy – Diplomacy in the Modern World,University of London,global-diplomacy,588,4.54
Introduction to Classical Music,Yale University,introclassicalmusic,584,4.88
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,build-a-computer,582,4.86
Business Writing,University of Colorado Boulder,writing-for-business,581,4.76
Introduction to Artificial Intelligence (AI),IBM,introduction-to-ai,581,4.49
An Introduction to American Law,University of Pennsylvania,american-law,579,4.8
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,wharton-entrepreneurship-opportunity,572,4.74
Getting Started with Essay Writing,"University of California, Irvine",getting-started-with-essay-writing,572,4.61
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",bayesian-statistics,572,4.41
Convolutional Neural Networks in TensorFlow,DeepLearning.AI,convolutional-neural-networks-tensorflow,571,4.31
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,multivariate-calculus-machine-learning,571,4.59
Cryptography I,Stanford University,crypto,566,4.75
Marketing Gerencial,Universidad de Chile,marketing-gerencial,565,4.66
Introductory Human Physiology,Duke University,physiology,552,4.72
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,negociacion,551,4.77
Software Processes and Agile Practices,University of Alberta,software-processes-and-agile-practices,547,4.62
Digital Product Management: Modern Fundamentals,University of Virginia,uva-darden-digital-product-management,546,4.65
Introduction to Spreadsheets and Models,University of Pennsylvania,wharton-introduction-spreadsheets-models,544,3.6
Understanding Einstein: The Special Theory of Relativity,Stanford University,einstein-relativity,543,4.87
Animal Behaviour and Welfare,The University of Edinburgh,animal-welfare,542,4.73
Astronomy: Exploring Time and Space,University of Arizona,astro,539,4.83
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,gcp-infrastructure-scaling-automation,535,4.49
Perfect Tenses and Modals,"University of California, Irvine",perfect-tenses-modals,534,4.75
Gamification,University of Pennsylvania,gamification,534,4.69
Introduction to Engineering Mechanics,Georgia Institute of Technology,engineering-mechanics-statics,533,4.7
